object,index,x,y,z
bed1,0,0.092,0.209,0.000
bed1,1,0.206,0.216,0.000
bed1,2,0.293,0.219,0.000
bed1,3,0.600,0.211,0.000
bed1,4,0.706,0.216,0.000
bed1,5,0.904,0.212,0.000
bed1,6,1.003,0.211,0.000
bed1,7,1.096,0.215,0.000
bed1,8,1.307,0.217,0.000
bed1,9,1.386,0.210,0.000
bed1,10,1.507,0.222,0.000
bed1,11,1.613,0.231,0.000
bed1,12,1.706,0.236,0.000
bed1,13,1.816,0.228,0.000
bed1,14,1.905,0.232,0.000
bed1,15,2.010,0.222,0.000
bed1,16,2.101,0.241,0.000
bed1,17,2.289,0.240,0.000
bed1,18,2.408,0.239,0.000
bed1,19,2.507,0.240,0.000
bed1,20,2.607,0.261,0.000
bed1,21,2.806,0.240,0.000
bed1,22,3.000,0.274,0.000
bed1,23,3.199,0.256,0.000
bed1,24,3.305,0.273,0.000
bed1,25,3.410,0.267,0.000
bed1,26,3.610,0.289,0.000
bed1,27,3.892,0.302,0.000
bed1,28,3.990,0.305,0.000
bed1,29,4.100,0.321,0.000
bed1,30,4.204,0.316,0.000
bed1,31,4.315,0.321,0.000
bed1,32,4.391,0.332,0.000
bed1,33,4.507,0.326,0.000
bed1,34,4.711,0.343,0.000
bed1,35,5.109,0.352,0.000
bed1,36,5.192,0.394,0.000
bed1,37,5.406,0.382,0.000
bed1,38,5.698,0.413,0.000
bed1,39,5.810,0.421,0.000
bed1,40,6.005,0.445,0.000
bed1,41,6.101,0.444,0.000
bed1,42,6.382,0.462,0.000
bed1,43,6.493,0.455,0.000
bed1,44,6.688,0.492,0.000
bed1,45,6.900,0.495,0.000
bed1,46,7.095,0.521,0.000
bed1,47,7.199,0.532,0.000
bed1,48,7.404,0.512,0.000
bed1,49,7.603,0.559,0.000
bed1,50,7.905,0.542,0.000
bed1,51,8.097,0.549,0.000
bed1,52,8.189,0.572,0.000
bed1,53,8.398,0.582,0.000
bed1,54,8.502,0.563,0.000
bed1,55,8.693,0.583,0.000
bed1,56,8.804,0.609,0.000
bed1,57,8.883,0.599,0.000
bed1,58,9.208,0.602,0.000
bed1,59,9.406,0.595,0.000
bed1,60,9.512,0.604,0.000
bed1,61,9.697,0.604,0.000
bed1,62,9.803,0.602,0.000
bed1,63,10.110,0.607,0.000
bed1,64,10.401,0.595,0.000
bed1,65,10.490,0.582,0.000
bed1,66,10.608,0.585,0.000
bed1,67,10.696,0.583,0.000
bed1,68,10.901,0.573,0.000
bed1,69,10.993,0.582,0.000
bed1,70,11.087,0.578,0.000
bed1,71,11.190,0.574,0.000
bed1,72,11.290,0.562,0.000
bed1,73,11.505,0.556,0.000
bed1,74,11.698,0.549,0.000
bed1,75,11.814,0.528,0.000
bed1,76,12.212,0.523,0.000
bed1,77,12.295,0.501,0.000
bed1,78,12.509,0.481,0.000
bed1,79,12.594,0.482,0.000
bed1,80,12.693,0.468,0.000
bed1,81,12.788,0.460,0.000
bed1,82,13.203,0.433,0.000
bed1,83,13.296,0.415,0.000
bed1,84,13.593,0.380,0.000
bed1,85,13.686,0.373,0.000
bed1,86,13.911,0.341,0.000
bed1,87,14.098,0.325,0.000
bed1,88,14.202,0.316,0.000
bed1,89,14.398,0.292,0.000
bed1,90,14.495,0.277,0.000
bed1,91,14.697,0.246,0.000
bed1,92,14.902,0.223,0.000
bed1,93,15.111,0.207,0.000
bed1,94,15.212,0.192,0.000
bed1,95,15.305,0.180,0.000
bed1,96,15.392,0.159,0.000
bed1,97,15.494,0.163,0.000
bed1,98,15.913,0.097,0.000
bed1,99,16.092,0.081,0.000
bed1,100,16.203,0.068,0.000
bed1,101,16.399,0.044,0.000
bed1,102,16.495,0.035,0.000
bed1,103,16.787,0.017,0.000
bed1,104,16.979,-0.009,0.000
bed1,105,17.099,-0.010,0.000
bed1,106,17.304,-0.038,0.000
bed1,107,17.506,-0.036,0.000
bed1,108,17.598,-0.051,0.000
bed1,109,17.693,-0.067,0.000
bed1,110,17.783,-0.084,0.000
bed1,111,17.905,-0.077,0.000
bed1,112,17.984,-0.091,0.000
bed1,113,18.204,-0.107,0.000
bed1,114,18.410,-0.119,0.000
bed1,115,18.495,-0.125,0.000
bed1,116,18.608,-0.134,0.000
bed1,117,18.800,-0.131,0.000
bed1,118,18.895,-0.146,0.000
bed1,119,18.996,-0.153,0.000
bed1,120,19.094,-0.145,0.000
bed1,121,19.197,-0.147,0.000
bed1,122,19.292,-0.163,0.000
bed1,123,19.512,-0.160,0.000
bed1,124,19.799,-0.175,0.000
bed1,125,20.007,-0.172,0.000
bed1,126,20.085,-0.181,0.000
bed1,127,20.203,-0.178,0.000
bed1,128,20.406,-0.161,0.000
bed1,129,20.589,-0.162,0.000
bed1,130,20.696,-0.174,0.000
bed1,131,20.795,-0.166,0.000
bed1,132,20.998,-0.162,0.000
bed1,133,21.110,-0.170,0.000
bed1,134,21.196,-0.160,0.000
bed1,135,21.310,-0.159,0.000
bed1,136,21.697,-0.136,0.000
bed1,137,22.000,-0.126,0.000
bed1,138,22.097,-0.133,0.000
bed1,139,22.296,-0.103,0.000
bed1,140,22.406,-0.110,0.000
bed1,141,22.481,-0.095,0.000
bed1,142,22.700,-0.082,0.000
bed1,143,22.800,-0.083,0.000
bed1,144,22.908,-0.082,0.000
bed1,145,23.015,-0.088,0.000
bed1,146,23.101,-0.064,0.000
bed1,147,23.200,-0.063,0.000
bed1,148,23.389,-0.041,0.000
bed1,149,23.498,-0.023,0.000
bed1,150,23.705,-0.031,0.000
bed1,151,23.811,-0.027,0.000
bed1,152,23.901,-0.021,0.000
bed1,153,24.205,0.011,0.000
bed1,154,24.405,0.008,0.000
bed1,155,24.502,0.040,0.000
bed1,156,24.717,0.058,0.000
bed1,157,24.995,0.060,0.000
bed1,158,25.109,0.078,0.000
bed1,159,25.293,0.094,0.000
bed1,160,25.803,0.116,0.000
bed1,161,25.904,0.119,0.000
bed1,162,26.009,0.128,0.000
bed1,163,26.098,0.127,0.000
bed1,164,26.194,0.136,0.000
bed1,165,26.391,0.144,0.000
bed1,166,26.611,0.155,0.000
bed1,167,27.902,0.194,0.000
bed1,168,28.084,0.211,0.000
bed1,169,28.297,0.214,0.000
bed1,170,28.394,0.209,0.000
bed1,171,28.500,0.212,0.000
bed1,172,28.590,0.208,0.000
bed1,173,28.808,0.220,0.000
bed1,174,28.999,0.215,0.000
bed1,175,29.100,0.216,0.000
bed1,176,29.180,0.214,0.000
bed1,177,29.296,0.214,0.000
bed1,178,29.387,0.219,0.000
bed1,179,29.511,0.214,0.000
bed1,180,29.586,0.222,0.000
bed1,181,29.702,0.207,0.000
bed1,182,29.896,0.228,0.000
bed1,183,-0.003,0.639,0.000
bed1,184,0.207,0.643,0.000
bed1,185,0.498,0.640,0.000
bed1,186,0.607,0.645,0.000
bed1,187,0.689,0.636,0.000
bed1,188,1.095,0.650,0.000
bed1,189,1.196,0.644,0.000
bed1,190,1.390,0.649,0.000
bed1,191,1.498,0.657,0.000
bed1,192,1.696,0.657,0.000
bed1,193,1.787,0.649,0.000
bed1,194,1.903,0.661,0.000
bed1,195,2.201,0.671,0.000
bed1,196,2.289,0.674,0.000
bed1,197,2.396,0.672,0.000
bed1,198,2.602,0.664,0.000
bed1,199,2.701,0.682,0.000
bed1,200,2.803,0.681,0.000
bed1,201,2.985,0.683,0.000
bed1,202,3.094,0.692,0.000
bed1,203,3.192,0.688,0.000
bed1,204,3.305,0.698,0.000
bed1,205,3.400,0.703,0.000
bed1,206,3.497,0.708,0.000
bed1,207,3.809,0.717,0.000
bed1,208,3.896,0.739,0.000
bed1,209,4.097,0.722,0.000
bed1,210,4.298,0.746,0.000
bed1,211,4.390,0.758,0.000
bed1,212,4.503,0.748,0.000
bed1,213,4.807,0.780,0.000
bed1,214,4.891,0.806,0.000
bed1,215,5.098,0.786,0.000
bed1,216,5.207,0.806,0.000
bed1,217,5.303,0.825,0.000
bed1,218,5.410,0.822,0.000
bed1,219,5.592,0.825,0.000
bed1,220,5.886,0.838,0.000
bed1,221,6.006,0.862,0.000
bed1,222,6.112,0.860,0.000
bed1,223,6.284,0.888,0.000
bed1,224,6.498,0.891,0.000
bed1,225,6.775,0.915,0.000
bed1,226,6.999,0.920,0.000
bed1,227,7.204,0.939,0.000
bed1,228,7.299,0.944,0.000
bed1,229,7.404,0.941,0.000
bed1,230,7.496,0.955,0.000
bed1,231,7.594,0.973,0.000
bed1,232,7.705,0.993,0.000
bed1,233,7.989,0.978,0.000
bed1,234,8.102,0.995,0.000
bed1,235,8.697,1.008,0.000
bed1,236,8.800,1.011,0.000
bed1,237,9.006,1.010,0.000
bed1,238,9.098,1.003,0.000
bed1,239,9.500,1.038,0.000
bed1,240,9.578,1.018,0.000
bed1,241,9.697,1.033,0.000
bed1,242,10.006,1.033,0.000
bed1,243,10.302,1.029,0.000
bed1,244,10.401,1.015,0.000
bed1,245,10.498,0.996,0.000
bed1,246,10.596,1.018,0.000
bed1,247,10.816,1.001,0.000
bed1,248,11.006,1.002,0.000
bed1,249,11.192,0.991,0.000
bed1,250,11.309,0.991,0.000
bed1,251,11.483,0.971,0.000
bed1,252,11.586,0.987,0.000
bed1,253,11.788,0.958,0.000
bed1,254,11.900,0.958,0.000
bed1,255,12.003,0.950,0.000
bed1,256,12.087,0.945,0.000
bed1,257,12.195,0.948,0.000
bed1,258,12.290,0.932,0.000
bed1,259,12.398,0.906,0.000
bed1,260,12.793,0.891,0.000
bed1,261,12.902,0.884,0.000
bed1,262,13.104,0.862,0.000
bed1,263,13.308,0.824,0.000
bed1,264,13.399,0.827,0.000
bed1,265,13.493,0.816,0.000
bed1,266,13.590,0.810,0.000
bed1,267,13.906,0.777,0.000
bed1,268,14.000,0.755,0.000
bed1,269,14.102,0.748,0.000
bed1,270,14.395,0.720,0.000
bed1,271,14.495,0.693,0.000
bed1,272,14.699,0.667,0.000
bed1,273,14.796,0.665,0.000
bed1,274,14.909,0.655,0.000
bed1,275,14.990,0.644,0.000
bed1,276,15.307,0.614,0.000
bed1,277,15.399,0.602,0.000
bed1,278,15.509,0.590,0.000
bed1,279,15.610,0.571,0.000
bed1,280,15.702,0.546,0.000
bed1,281,15.814,0.556,0.000
bed1,282,16.103,0.515,0.000
bed1,283,16.197,0.488,0.000
bed1,284,16.384,0.494,0.000
bed1,285,16.701,0.460,0.000
bed1,286,17.210,0.399,0.000
bed1,287,17.582,0.367,0.000
bed1,288,17.792,0.356,0.000
bed1,289,17.892,0.339,0.000
bed1,290,18.497,0.314,0.000
bed1,291,18.579,0.306,0.000
bed1,292,18.798,0.286,0.000
bed1,293,19.288,0.270,0.000
bed1,294,19.392,0.264,0.000
bed1,295,19.999,0.267,0.000
bed1,296,20.104,0.265,0.000
bed1,297,20.210,0.255,0.000
bed1,298,20.803,0.261,0.000
bed1,299,20.987,0.277,0.000
bed1,300,21.095,0.279,0.000
bed1,301,21.196,0.268,0.000
bed1,302,21.312,0.274,0.000
bed1,303,21.388,0.285,0.000
bed1,304,21.503,0.287,0.000
bed1,305,21.592,0.280,0.000
bed1,306,21.699,0.292,0.000
bed1,307,21.791,0.288,0.000
bed1,308,21.993,0.293,0.000
bed1,309,22.406,0.313,0.000
bed1,310,22.699,0.346,0.000
bed1,311,22.811,0.351,0.000
bed1,312,22.902,0.354,0.000
bed1,313,22.996,0.350,0.000
bed1,314,23.113,0.360,0.000
bed1,315,23.197,0.372,0.000
bed1,316,23.404,0.388,0.000
bed1,317,23.981,0.415,0.000
bed1,318,24.107,0.419,0.000
bed1,319,24.201,0.430,0.000
bed1,320,24.297,0.457,0.000
bed1,321,24.392,0.472,0.000
bed1,322,24.509,0.470,0.000
bed1,323,24.597,0.476,0.000
bed1,324,24.707,0.459,0.000
bed1,325,24.793,0.486,0.000
bed1,326,24.898,0.498,0.000
bed1,327,25.095,0.500,0.000
bed1,328,25.296,0.503,0.000
bed1,329,25.398,0.510,0.000
bed1,330,25.502,0.532,0.000
bed1,331,26.610,0.588,0.000
bed1,332,26.701,0.590,0.000
bed1,333,26.799,0.585,0.000
bed1,334,27.992,0.614,0.000
bed1,335,28.310,0.625,0.000
bed1,336,28.401,0.632,0.000
bed1,337,28.793,0.641,0.000
bed1,338,28.907,0.646,0.000
bed1,339,29.015,0.638,0.000
bed1,340,29.180,0.654,0.000
bed1,341,29.287,0.648,0.000
bed1,342,29.501,0.646,0.000
bed1,343,29.617,0.645,0.000
bed1,344,29.799,0.659,0.000
bed1,345,0.008,1.070,0.000
bed1,346,0.502,1.063,0.000
bed1,347,0.708,1.078,0.000
bed1,348,0.888,1.077,0.000
bed1,349,0.983,1.069,0.000
bed1,350,1.100,1.070,0.000
bed1,351,1.480,1.076,0.000
bed1,352,1.604,1.067,0.000
bed1,353,1.705,1.095,0.000
bed1,354,1.917,1.083,0.000
bed1,355,2.100,1.086,0.000
bed1,356,2.191,1.089,0.000
bed1,357,2.393,1.097,0.000
bed1,358,2.493,1.119,0.000
bed1,359,2.811,1.112,0.000
bed1,360,2.893,1.110,0.000
bed1,361,3.004,1.118,0.000
bed1,362,3.213,1.124,0.000
bed1,363,3.303,1.118,0.000
bed1,364,3.403,1.138,0.000
bed1,365,3.596,1.132,0.000
bed1,366,3.800,1.161,0.000
bed1,367,3.997,1.151,0.000
bed1,368,4.111,1.163,0.000
bed1,369,4.392,1.190,0.000
bed1,370,4.498,1.195,0.000
bed1,371,4.598,1.190,0.000
bed1,372,4.697,1.217,0.000
bed1,373,4.796,1.213,0.000
bed1,374,4.991,1.221,0.000
bed1,375,5.195,1.238,0.000
bed1,376,5.312,1.249,0.000
bed1,377,5.498,1.250,0.000
bed1,378,5.586,1.268,0.000
bed1,379,5.893,1.272,0.000
bed1,380,6.100,1.307,0.000
bed1,381,6.301,1.311,0.000
bed1,382,6.401,1.314,0.000
bed1,383,6.600,1.344,0.000
bed1,384,6.792,1.351,0.000
bed1,385,6.895,1.356,0.000
bed1,386,7.100,1.371,0.000
bed1,387,7.309,1.389,0.000
bed1,388,7.409,1.385,0.000
bed1,389,7.587,1.394,0.000
bed1,390,7.700,1.391,0.000
bed1,391,7.802,1.395,0.000
bed1,392,7.912,1.392,0.000
bed1,393,8.005,1.412,0.000
bed1,394,8.099,1.421,0.000
bed1,395,8.204,1.427,0.000
bed1,396,8.295,1.434,0.000
bed1,397,8.493,1.432,0.000
bed1,398,8.619,1.451,0.000
bed1,399,8.695,1.447,0.000
bed1,400,8.895,1.445,0.000
bed1,401,8.990,1.451,0.000
bed1,402,9.096,1.453,0.000
bed1,403,9.200,1.462,0.000
bed1,404,9.312,1.459,0.000
bed1,405,9.493,1.450,0.000
bed1,406,9.699,1.461,0.000
bed1,407,9.787,1.461,0.000
bed1,408,9.887,1.455,0.000
bed1,409,9.993,1.462,0.000
bed1,410,10.086,1.450,0.000
bed1,411,10.301,1.464,0.000
bed1,412,10.397,1.447,0.000
bed1,413,10.507,1.445,0.000
bed1,414,10.606,1.454,0.000
bed1,415,11.095,1.420,0.000
bed1,416,11.212,1.415,0.000
bed1,417,11.405,1.417,0.000
bed1,418,11.499,1.414,0.000
bed1,419,11.695,1.386,0.000
bed1,420,11.799,1.379,0.000
bed1,421,11.896,1.391,0.000
bed1,422,12.016,1.383,0.000
bed1,423,12.096,1.374,0.000
bed1,424,12.201,1.352,0.000
bed1,425,12.301,1.358,0.000
bed1,426,12.402,1.345,0.000
bed1,427,12.598,1.341,0.000
bed1,428,12.706,1.328,0.000
bed1,429,12.805,1.302,0.000
bed1,430,12.992,1.289,0.000
bed1,431,13.202,1.274,0.000
bed1,432,13.397,1.246,0.000
bed1,433,13.505,1.245,0.000
bed1,434,13.584,1.226,0.000
bed1,435,13.703,1.221,0.000
bed1,436,13.903,1.194,0.000
bed1,437,13.997,1.190,0.000
bed1,438,14.405,1.152,0.000
bed1,439,14.497,1.154,0.000
bed1,440,14.603,1.112,0.000
bed1,441,14.692,1.111,0.000
