object,index,x,y,z
bed1,0,-10.119,193.927,4.014
bed1,1,-10.005,193.985,4.011
bed1,2,-9.881,194.037,4.005
bed1,3,-9.765,194.085,4.000
bed1,4,-9.411,194.247,3.985
bed1,5,-9.283,194.303,3.979
bed1,6,-9.167,194.350,3.973
bed1,7,-9.059,194.393,3.968
bed1,8,-8.821,194.480,3.952
bed1,9,-8.687,194.549,3.949
bed1,10,-8.572,194.597,3.943
bed1,11,-8.454,194.657,3.939
bed1,12,-7.984,194.854,3.916
bed1,13,-7.753,194.982,3.911
bed1,14,-7.375,195.135,3.894
bed1,15,-7.261,195.184,3.890
bed1,16,-7.027,195.300,3.886
bed1,17,-6.776,195.400,3.876
bed1,18,-6.658,195.460,3.878
bed1,19,-6.528,195.513,3.876
bed1,20,-6.301,195.602,3.872
bed1,21,-5.831,195.828,3.873
bed1,22,-5.694,195.864,3.866
bed1,23,-5.584,195.923,3.868
bed1,24,-4.989,196.182,3.863
bed1,25,-4.866,196.242,3.864
bed1,26,-4.756,196.286,3.862
bed1,27,-4.623,196.334,3.859
bed1,28,-4.489,196.380,3.854
bed1,29,-4.031,196.609,3.858
bed1,30,-3.907,196.634,3.850
bed1,31,-3.790,196.710,3.856
bed1,32,-3.545,196.806,3.854
bed1,33,-3.422,196.851,3.852
bed1,34,-3.317,196.913,3.857
bed1,35,-3.196,196.954,3.853
bed1,36,-2.967,197.087,3.863
bed1,37,-2.818,197.126,3.857
bed1,38,-2.699,197.175,3.858
bed1,39,-2.593,197.225,3.860
bed1,40,-2.359,197.348,3.869
bed1,41,-2.237,197.409,3.873
bed1,42,-1.985,197.505,3.875
bed1,43,-1.866,197.566,3.881
bed1,44,-1.734,197.603,3.878
bed1,45,-1.617,197.648,3.879
bed1,46,-1.396,197.742,3.885
bed1,47,-1.269,197.785,3.884
bed1,48,-1.135,197.853,3.890
bed1,49,-0.663,198.037,3.897
bed1,50,-0.550,198.085,3.899
bed1,51,-0.312,198.198,3.908
bed1,52,-0.181,198.236,3.906
bed1,53,0.166,198.379,3.914
bed1,54,0.291,198.441,3.919
bed1,55,0.646,198.578,3.924
bed1,56,1.003,198.744,3.936
bed1,57,1.115,198.776,3.934
bed1,58,1.605,198.982,3.947
bed1,59,2.077,199.203,3.962
bed1,60,2.212,199.263,3.965
bed1,61,2.345,199.302,3.966
bed1,62,2.689,199.448,3.979
bed1,63,3.044,199.603,3.993
bed1,64,3.169,199.653,3.997
